Time (UTC),Open,High,Low,Close,Volume 
2024.01.10 19:00:00,76.753,76.863,76.743,76.823,0.09271
2024.01.10 19:05:00,76.828,76.858,76.788,76.813,0.06146
2024.01.10 19:10:00,76.818,76.853,76.698,76.698,0.08003
2024.01.10 19:15:00,76.723,76.843,76.693,76.823,0.07962
2024.01.10 19:20:00,76.828,76.868,76.743,76.818,0.10209
2024.01.10 19:25:00,76.823,76.898,76.723,76.768,0.15378
2024.01.10 19:30:00,76.773,76.883,76.758,76.778,0.05891
2024.01.10 19:35:00,76.783,76.793,76.743,76.753,0.03461
2024.01.10 19:40:00,76.758,76.758,76.703,76.713,0.01906
2024.01.10 19:45:00,76.703,76.723,76.673,76.683,0.02653
2024.01.10 19:50:00,76.678,76.693,76.633,76.693,0.0179
2024.01.10 19:55:00,76.703,76.773,76.698,76.758,0.028
2024.01.10 20:00:00,76.763,76.763,76.713,76.713,0.02052
2024.01.10 20:05:00,76.708,76.748,76.698,76.748,0.0218
2024.01.10 20:10:00,76.743,76.763,76.703,76.703,0.01879
2024.01.10 20:15:00,76.707,76.763,76.703,76.753,0.02505
2024.01.10 20:20:00,76.763,76.763,76.713,76.733,0.01471
2024.01.10 20:25:00,76.738,76.773,76.738,76.758,0.01635
2024.01.10 20:30:00,76.763,76.798,76.743,76.773,0.03152
2024.01.10 20:35:00,76.778,76.803,76.768,76.788,0.01769
2024.01.10 20:40:00,76.783,76.793,76.768,76.783,0.01982
2024.01.10 20:45:00,76.778,76.813,76.773,76.793,0.02722
2024.01.10 20:50:00,76.783,76.823,76.783,76.788,0.02761
2024.01.10 20:55:00,76.793,76.793,76.743,76.743,0.0256
2024.01.10 21:00:00,76.76,76.78,76.755,76.77,0.01704
2024.01.10 21:05:00,76.77,76.79,76.77,76.77,0.00932
2024.01.10 21:10:00,76.77,76.79,76.76,76.76,0.00693
2024.01.10 21:15:00,76.765,76.795,76.76,76.79,0.01005
2024.01.10 21:20:00,76.8,76.82,76.795,76.805,0.01026
2024.01.10 21:25:00,76.805,76.81,76.8,76.805,0.00382
2024.01.10 21:30:00,76.81,76.82,76.798,76.82,0.00415
2024.01.10 21:35:00,76.83,76.84,76.818,76.83,0.00515
2024.01.10 21:40:00,76.83,76.84,76.795,76.805,0.01075
2024.01.10 21:45:00,76.81,76.82,76.805,76.805,0.01709
2024.01.10 21:50:00,76.815,76.815,76.79,76.79,0.0205
2024.01.10 21:55:00,76.79,76.81,76.778,76.795,0.00693
2024.01.11 01:00:00,76.728,77.088,76.698,77.083,0.20155
2024.01.11 01:05:00,77.078,77.078,76.928,76.988,0.12969
2024.01.11 01:10:00,76.978,77.063,76.953,77.033,0.11622
2024.01.11 01:15:00,77.028,77.093,76.993,77.068,0.09674
2024.01.11 01:20:00,77.063,77.138,77.053,77.108,0.08125
2024.01.11 01:25:00,77.098,77.163,77.058,77.108,0.06113
2024.01.11 01:30:00,77.098,77.113,77.043,77.108,0.04995
2024.01.11 01:35:00,77.113,77.143,77.038,77.043,0.0361
2024.01.11 01:40:00,77.038,77.048,77.013,77.048,0.03634
2024.01.11 01:45:00,77.043,77.118,77.008,77.093,0.0429
2024.01.11 01:50:00,77.088,77.118,77.053,77.098,0.05865
2024.01.11 01:55:00,77.093,77.123,76.988,77.013,0.05973
2024.01.11 02:00:00,77.008,77.083,76.998,77.063,0.04647
2024.01.11 02:05:00,77.068,77.113,77.038,77.113,0.05603
2024.01.11 02:10:00,77.098,77.103,76.993,77.103,0.06164
2024.01.11 02:15:00,77.098,77.193,77.098,77.138,0.0412
2024.01.11 02:20:00,77.143,77.153,77.098,77.118,0.07313
2024.01.11 02:25:00,77.113,77.113,77.088,77.093,0.02397
2024.01.11 02:30:00,77.073,77.123,77.018,77.048,0.06493
2024.01.11 02:35:00,77.043,77.088,77.023,77.088,0.05498
2024.01.11 02:40:00,77.093,77.108,77.033,77.073,0.07002
2024.01.11 02:45:00,77.063,77.093,77.013,77.018,0.04493
2024.01.11 02:50:00,77.013,77.018,76.988,77.013,0.0158
2024.01.11 02:55:00,77.018,77.023,76.903,76.923,0.04585
2024.01.11 03:00:00,76.913,76.958,76.868,76.893,0.03856
2024.01.11 03:05:00,76.888,76.963,76.878,76.953,0.07326
2024.01.11 03:10:00,76.948,76.988,76.913,76.973,0.05912
2024.01.11 03:15:00,76.968,77.018,76.938,77.013,0.03745
2024.01.11 03:20:00,77.008,77.023,76.988,76.998,0.02233
2024.01.11 03:25:00,76.993,77.088,76.993,77.088,0.02368
2024.01.11 03:30:00,77.083,77.133,77.083,77.128,0.0102
2024.01.11 03:35:00,77.133,77.143,77.113,77.128,0.01305
2024.01.11 03:40:00,77.133,77.158,77.123,77.143,0.00892
2024.01.11 03:45:00,77.148,77.148,77.133,77.138,0.00171
2024.01.11 03:50:00,77.133,77.143,77.123,77.138,0.00547
2024.01.11 03:55:00,77.128,77.148,77.108,77.108,0.00751
2024.01.11 04:00:00,77.103,77.113,77.093,77.113,0.00385
2024.01.11 04:05:00,77.118,77.138,77.118,77.128,0.00547
2024.01.11 04:10:00,77.133,77.158,77.133,77.143,0.00585
2024.01.11 04:15:00,77.148,77.148,77.113,77.118,0.00445
2024.01.11 04:20:00,77.113,77.123,77.098,77.123,0.00763
2024.01.11 04:25:00,77.118,77.133,77.108,77.128,0.00925
2024.01.11 04:30:00,77.123,77.128,77.113,77.123,0.00506
2024.01.11 04:35:00,77.128,77.133,77.113,77.118,0.00465
2024.01.11 04:40:00,77.113,77.123,77.103,77.118,0.00353
2024.01.11 04:45:00,77.123,77.173,77.123,77.168,0.00792
2024.01.11 04:50:00,77.173,77.173,77.153,77.163,0.00828
2024.01.11 04:55:00,77.158,77.173,77.148,77.173,0.00682
2024.01.11 05:00:00,77.168,77.168,77.133,77.158,0.01334
2024.01.11 05:05:00,77.153,77.203,77.143,77.188,0.0123
2024.01.11 05:10:00,77.183,77.203,77.178,77.188,0.00758
2024.01.11 05:15:00,77.193,77.253,77.193,77.248,0.01774
2024.01.11 05:20:00,77.238,77.273,77.233,77.248,0.01164
2024.01.11 05:25:00,77.243,77.308,77.238,77.298,0.01894
2024.01.11 05:30:00,77.303,77.343,77.193,77.223,0.07293
2024.01.11 05:35:00,77.233,77.408,77.223,77.378,0.04636
2024.01.11 05:40:00,77.373,77.383,77.333,77.338,0.02562
2024.01.11 05:45:00,77.348,77.403,77.348,77.383,0.01664
2024.01.11 05:50:00,77.378,77.433,77.373,77.408,0.0239
2024.01.11 05:55:00,77.413,77.423,77.338,77.348,0.021
2024.01.11 06:00:00,77.343,77.363,77.263,77.268,0.03247
2024.01.11 06:05:00,77.273,77.303,77.258,77.288,0.01791
2024.01.11 06:10:00,77.293,77.368,77.273,77.353,0.02931
2024.01.11 06:15:00,77.348,77.378,77.328,77.338,0.02113
2024.01.11 06:20:00,77.333,77.393,77.313,77.388,0.02718
2024.01.11 06:25:00,77.408,77.433,77.398,77.428,0.0218
2024.01.11 06:30:00,77.423,77.448,77.388,77.438,0.02829
2024.01.11 06:35:00,77.433,77.473,77.388,77.453,0.02037
2024.01.11 06:40:00,77.443,77.468,77.423,77.463,0.03481
2024.01.11 06:45:00,77.468,77.498,77.438,77.468,0.03108
2024.01.11 06:50:00,77.463,77.463,77.403,77.403,0.01719
2024.01.11 06:55:00,77.393,77.428,77.383,77.403,0.02254
2024.01.11 07:00:00,77.418,77.493,77.418,77.448,0.03448
2024.01.11 07:05:00,77.458,77.468,77.388,77.423,0.02489
2024.01.11 07:10:00,77.413,77.518,77.413,77.513,0.03671
2024.01.11 07:15:00,77.508,77.508,77.468,77.483,0.02497
2024.01.11 07:20:00,77.488,77.488,77.408,77.488,0.03882
2024.01.11 07:25:00,77.478,77.493,77.453,77.458,0.03422
2024.01.11 07:30:00,77.453,77.463,77.413,77.438,0.03894
2024.01.11 07:35:00,77.433,77.478,77.413,77.413,0.02393
2024.01.11 07:40:00,77.408,77.423,77.333,77.338,0.02548
2024.01.11 07:45:00,77.333,77.373,77.318,77.343,0.02386
2024.01.11 07:50:00,77.328,77.333,77.233,77.268,0.03826
2024.01.11 07:55:00,77.263,77.323,77.243,77.323,0.0347
2024.01.11 08:00:00,77.318,77.423,77.233,77.388,0.07639
2024.01.11 08:05:00,77.393,77.458,77.308,77.348,0.05735
2024.01.11 08:10:00,77.343,77.383,77.253,77.268,0.06481
2024.01.11 08:15:00,77.263,77.288,77.198,77.238,0.05905
2024.01.11 08:20:00,77.233,77.328,77.213,77.288,0.07962
2024.01.11 08:25:00,77.283,77.283,77.013,77.038,0.12932
2024.01.11 08:30:00,77.033,77.093,76.993,77.043,0.08248
2024.01.11 08:35:00,77.033,77.063,76.943,77.003,0.05245
2024.01.11 08:40:00,76.993,76.993,76.823,76.903,0.08184
2024.01.11 08:45:00,76.893,77.123,76.883,77.093,0.06162
2024.01.11 08:50:00,77.083,77.168,77.053,77.168,0.04561
2024.01.11 08:55:00,77.163,77.343,77.133,77.308,0.07375
2024.01.11 09:00:00,77.313,77.623,77.253,77.593,0.1315
2024.01.11 09:05:00,77.583,77.803,77.558,77.733,0.08993
2024.01.11 09:10:00,77.753,77.873,77.723,77.853,0.11308
2024.01.11 09:15:00,77.848,78.003,77.843,77.923,0.11043
2024.01.11 09:20:00,77.933,78.013,77.883,77.973,0.0845
2024.01.11 09:25:00,77.993,78.083,77.973,78.023,0.08112
2024.01.11 09:30:00,78.028,78.163,77.973,78.053,0.09478
2024.01.11 09:35:00,78.058,78.083,77.913,77.938,0.08795
2024.01.11 09:40:00,77.948,78.013,77.923,78.003,0.0789
2024.01.11 09:45:00,77.998,78.153,77.983,78.148,0.0761
2024.01.11 09:50:00,78.143,78.163,78.063,78.128,0.08985
2024.01.11 09:55:00,78.123,78.148,78.063,78.133,0.05671
2024.01.11 10:00:00,78.138,78.283,78.138,78.178,0.10061
2024.01.11 10:05:00,78.183,78.213,78.103,78.183,0.06015
2024.01.11 10:10:00,78.178,78.323,78.173,78.278,0.07752
2024.01.11 10:15:00,78.283,78.293,78.203,78.228,0.04379
2024.01.11 10:20:00,78.223,78.228,78.108,78.133,0.05546
2024.01.11 10:25:00,78.113,78.193,78.113,78.123,0.05114
2024.01.11 10:30:00,78.118,78.143,78.038,78.043,0.06766
2024.01.11 10:35:00,78.048,78.073,77.893,78.068,0.06873
2024.01.11 10:40:00,78.063,78.073,77.953,77.993,0.03936
2024.01.11 10:45:00,77.998,78.068,77.993,78.058,0.0432
2024.01.11 10:50:00,78.058,78.098,78.023,78.093,0.03441
2024.01.11 10:55:00,78.083,78.103,77.998,78.053,0.04118
2024.01.11 11:00:00,78.043,78.058,77.963,77.973,0.04368
2024.01.11 11:05:00,77.968,77.973,77.783,77.813,0.06584
2024.01.11 11:10:00,77.823,77.853,77.763,77.823,0.05649
2024.01.11 11:15:00,77.828,78.013,77.823,78.003,0.04881
2024.01.11 11:20:00,78.008,78.143,77.983,78.133,0.08241
2024.01.11 11:25:00,78.128,78.163,78.088,78.128,0.05319
2024.01.11 11:30:00,78.123,78.183,78.078,78.158,0.06482
2024.01.11 11:35:00,78.153,78.253,78.143,78.248,0.05216
2024.01.11 11:40:00,78.243,78.323,78.243,78.283,0.04761
2024.01.11 11:45:00,78.293,78.323,78.233,78.313,0.03775
2024.01.11 11:50:00,78.308,78.323,78.203,78.263,0.05917
2024.01.11 11:55:00,78.273,78.303,78.243,78.273,0.0528
2024.01.11 12:00:00,78.278,78.278,78.148,78.163,0.05723
2024.01.11 12:05:00,78.173,78.188,78.138,78.143,0.03837
2024.01.11 12:10:00,78.148,78.233,78.143,78.203,0.04149
2024.01.11 12:15:00,78.198,78.243,78.163,78.173,0.04136
2024.01.11 12:20:00,78.183,78.298,78.178,78.243,0.04402
2024.01.11 12:25:00,78.248,78.318,78.248,78.263,0.03621
2024.01.11 12:30:00,78.273,78.293,78.228,78.243,0.04429
2024.01.11 12:35:00,78.238,78.313,78.203,78.283,0.04155
2024.01.11 12:40:00,78.288,78.323,78.233,78.273,0.04775
2024.01.11 12:45:00,78.278,78.313,78.208,78.263,0.03314
2024.01.11 12:50:00,78.273,78.323,78.253,78.263,0.04532
2024.01.11 12:55:00,78.268,78.298,78.223,78.273,0.05053
2024.01.11 13:00:00,78.268,78.428,78.128,78.203,0.15017
2024.01.11 13:05:00,78.198,78.278,78.153,78.208,0.10239
2024.01.11 13:10:00,78.203,78.433,78.203,78.368,0.10057
2024.01.11 13:15:00,78.363,78.383,78.293,78.293,0.07553
2024.01.11 13:20:00,78.298,78.393,78.248,78.373,0.07568
2024.01.11 13:25:00,78.363,78.383,78.233,78.273,0.0844
2024.01.11 13:30:00,78.278,78.302,77.773,78.128,0.29158
2024.01.11 13:35:00,78.133,78.378,77.968,77.993,0.26532
2024.01.11 13:40:00,77.973,78.308,77.933,78.193,0.26515
2024.01.11 13:45:00,78.198,78.363,78.148,78.193,0.22001
2024.01.11 13:50:00,78.198,78.318,78.088,78.123,0.21242
2024.01.11 13:55:00,78.118,78.213,78.028,78.038,0.16413
2024.01.11 14:00:00,78.038,78.313,77.948,78.293,0.23418
2024.01.11 14:05:00,78.293,78.333,78.163,78.253,0.15415
2024.01.11 14:10:00,78.248,78.618,78.213,78.483,0.19257
2024.01.11 14:15:00,78.478,78.573,78.368,78.498,0.17041
2024.01.11 14:20:00,78.493,78.573,78.448,78.538,0.15603
2024.01.11 14:25:00,78.543,78.623,78.503,78.573,0.13974
2024.01.11 14:30:00,78.578,78.623,78.348,78.453,0.27483
2024.01.11 14:35:00,78.453,78.538,78.158,78.253,0.2613
2024.01.11 14:40:00,78.243,78.333,78.143,78.313,0.1907
2024.01.11 14:45:00,78.318,78.428,78.143,78.388,0.21202
2024.01.11 14:50:00,78.393,78.448,78.318,78.383,0.18389
2024.01.11 14:55:00,78.393,78.603,78.373,78.598,0.1617
2024.01.11 15:00:00,78.603,78.603,78.353,78.398,0.17909
2024.01.11 15:05:00,78.402,78.593,78.373,78.513,0.18113
2024.01.11 15:10:00,78.503,78.553,78.318,78.338,0.17885
2024.01.11 15:15:00,78.348,78.523,78.348,78.523,0.15687
2024.01.11 15:20:00,78.518,78.623,78.468,78.543,0.15369
2024.01.11 15:25:00,78.548,78.623,78.548,78.603,0.07562
